19 Feb 2023, 17:00:00,859 ,     BinhKimAnh,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:00:00 19-02-2023
19 Feb 2023, 17:03:31,860 ,      Rainbow03,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:03:31 19-02-2023
19 Feb 2023, 17:03:34,861 ,       Darcelle,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:03:34 19-02-2023
19 Feb 2023, 17:03:46,859 ,        Adalene,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:03:46 19-02-2023
19 Feb 2023, 17:03:49,859 ,         Armand,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:03:49 19-02-2023
19 Feb 2023, 17:03:50,859 ,       quyconan,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:03:50 19-02-2023
19 Feb 2023, 17:03:53,859 ,        Briland,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:03:53 19-02-2023
19 Feb 2023, 17:03:55,859 ,        Sungbao,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:03:55 19-02-2023
19 Feb 2023, 17:03:56,859 ,      Annabello,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:03:56 19-02-2023
19 Feb 2023, 17:04:04,859 ,        Briland,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:04:04 19-02-2023
19 Feb 2023, 17:04:05,859 ,        Adalene,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:04:05 19-02-2023
19 Feb 2023, 17:04:08,859 ,      Rainbow03,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:04:08 19-02-2023
19 Feb 2023, 17:04:11,859 ,   Cuoinamecuoi,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:04:11 19-02-2023
19 Feb 2023, 17:04:13,859 ,      Annabello,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:04:13 19-02-2023
19 Feb 2023, 17:04:15,859 ,    sonsutsit15,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:04:15 19-02-2023
19 Feb 2023, 17:04:23,860 ,        Adriene,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:04:23 19-02-2023
19 Feb 2023, 17:04:25,859 ,        Sungbao,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:04:25 19-02-2023
19 Feb 2023, 17:04:36,859 ,         Amarie,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:04:36 19-02-2023
19 Feb 2023, 17:04:37,860 ,     BinhKimAnh,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:04:37 19-02-2023
19 Feb 2023, 17:04:43,859 ,       Beaufort,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:04:43 19-02-2023
19 Feb 2023, 17:04:43,860 ,       Beaufort,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:04:43 19-02-2023
19 Feb 2023, 17:04:44,860 ,      Rainbow03,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:04:44 19-02-2023
19 Feb 2023, 17:04:45,859 ,       Beaufort,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:04:45 19-02-2023
19 Feb 2023, 17:04:48,859 ,         Amarie,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:04:48 19-02-2023
19 Feb 2023, 17:04:51,861 ,        Briland,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:04:51 19-02-2023
19 Feb 2023, 17:04:51,863 ,    sonsutsit15,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:04:51 19-02-2023
19 Feb 2023, 17:04:52,859 ,  ngoclinhdt892,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:04:52 19-02-2023
19 Feb 2023, 17:05:01,859 ,        Adriene,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:05:01 19-02-2023
19 Feb 2023, 17:05:03,860 ,        Sungbao,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:05:03 19-02-2023
19 Feb 2023, 17:05:06,859 ,  ngoclinhdt892,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:05:06 19-02-2023
19 Feb 2023, 17:05:09,859 ,  ngoclinhdt892,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:05:09 19-02-2023
19 Feb 2023, 17:05:12,859 ,  ngoclinhdt892,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:05:12 19-02-2023
19 Feb 2023, 17:05:24,859 ,  ngoclinhdt892,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:05:24 19-02-2023
19 Feb 2023, 17:05:30,860 ,       Beaufort,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:05:30 19-02-2023
19 Feb 2023, 17:05:32,861 ,         Amarie,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:05:32 19-02-2023
19 Feb 2023, 17:05:39,861 ,      Rainbow03,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:05:39 19-02-2023
19 Feb 2023, 17:05:48,859 ,    sonsutsit15,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:05:48 19-02-2023
19 Feb 2023, 17:05:52,859 ,       Darcelle,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:05:52 19-02-2023
19 Feb 2023, 17:05:57,859 ,        Briland,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:05:57 19-02-2023
19 Feb 2023, 17:05:59,859 ,      Annabello,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:05:59 19-02-2023
19 Feb 2023, 17:06:04,860 ,        Adalene,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:06:04 19-02-2023
19 Feb 2023, 17:06:10,859 ,   Cuoinamecuoi,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:06:10 19-02-2023
19 Feb 2023, 17:06:11,859 ,       Darcelle,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:06:11 19-02-2023
19 Feb 2023, 17:06:13,859 ,        Briland,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:06:13 19-02-2023
19 Feb 2023, 17:06:15,860 ,       Darcelle,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:06:15 19-02-2023
19 Feb 2023, 17:06:16,859 ,       Eleonore,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:06:16 19-02-2023
19 Feb 2023, 17:06:20,859 ,      Annabello,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:06:20 19-02-2023
19 Feb 2023, 17:06:21,860 ,       Darcelle,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:06:21 19-02-2023
19 Feb 2023, 17:06:34,859 ,   Cuoinamecuoi,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:06:34 19-02-2023
19 Feb 2023, 17:06:36,860 ,         Armand,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:06:36 19-02-2023
19 Feb 2023, 17:06:42,859 ,         Armand,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:06:42 19-02-2023
19 Feb 2023, 17:06:42,860 ,        Adalene,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:06:42 19-02-2023
19 Feb 2023, 17:06:43,861 ,      Rainbow03,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:06:43 19-02-2023
19 Feb 2023, 17:06:48,859 ,   Cuoinamecuoi,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:06:48 19-02-2023
19 Feb 2023, 17:06:53,859 ,       Eleonore,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:06:53 19-02-2023
19 Feb 2023, 17:06:53,861 ,        Briland,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:06:53 19-02-2023
19 Feb 2023, 17:06:54,859 ,      Rainbow03,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:06:54 19-02-2023
19 Feb 2023, 17:06:57,859 ,      Rainbow03,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:06:57 19-02-2023
19 Feb 2023, 17:06:58,859 ,       quyconan,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:06:58 19-02-2023
19 Feb 2023, 17:07:02,860 ,       quyconan,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:07:02 19-02-2023
19 Feb 2023, 17:07:06,860 ,        Adriene,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:07:06 19-02-2023
19 Feb 2023, 17:07:10,859 ,         Amarie,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:07:10 19-02-2023
19 Feb 2023, 17:07:11,858 ,        Sungbao,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:07:11 19-02-2023
19 Feb 2023, 17:07:16,860 ,        Adriene,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:07:16 19-02-2023
19 Feb 2023, 17:07:23,859 ,     BinhKimAnh,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:07:23 19-02-2023
19 Feb 2023, 17:07:24,860 ,        Briland,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:07:24 19-02-2023
19 Feb 2023, 17:07:29,859 ,       Beaufort,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:07:29 19-02-2023
19 Feb 2023, 17:07:29,860 ,    sonsutsit15,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:07:29 19-02-2023
19 Feb 2023, 17:07:30,861 ,         Armand,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:07:30 19-02-2023
19 Feb 2023, 17:07:31,859 ,       Eleonore,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:07:31 19-02-2023
19 Feb 2023, 17:07:31,861 ,         Armand,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:07:31 19-02-2023
19 Feb 2023, 17:07:45,859 ,       quyconan,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:07:45 19-02-2023
19 Feb 2023, 17:07:46,859 ,       Beaufort,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:07:46 19-02-2023
19 Feb 2023, 17:07:53,860 ,         Amarie,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:07:53 19-02-2023
19 Feb 2023, 17:07:55,859 ,        Adriene,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:07:55 19-02-2023
19 Feb 2023, 17:07:57,860 ,        Adriene,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:07:57 19-02-2023
19 Feb 2023, 17:07:59,860 ,  ngoclinhdt892,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:07:59 19-02-2023
19 Feb 2023, 17:08:07,861 ,       Darcelle,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:08:07 19-02-2023
19 Feb 2023, 17:08:12,861 ,         Armand,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:08:12 19-02-2023
19 Feb 2023, 17:08:13,861 ,       Eleonore,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:08:13 19-02-2023
19 Feb 2023, 17:08:14,859 ,         Armand,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:08:14 19-02-2023
19 Feb 2023, 17:08:15,860 ,    sonsutsit15,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:08:15 19-02-2023
19 Feb 2023, 17:08:19,859 ,        Adalene,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:08:19 19-02-2023
19 Feb 2023, 17:08:20,859 ,   Cuoinamecuoi,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:08:20 19-02-2023
19 Feb 2023, 17:08:23,861 ,        Adalene,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:08:23 19-02-2023
19 Feb 2023, 17:08:24,859 ,   Cuoinamecuoi,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:08:24 19-02-2023
19 Feb 2023, 17:08:27,860 ,    sonsutsit15,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:08:27 19-02-2023
19 Feb 2023, 17:08:31,860 ,      Rainbow03,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:08:31 19-02-2023
19 Feb 2023, 17:08:36,859 ,        Briland,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:08:36 19-02-2023
19 Feb 2023, 17:08:36,861 ,        Adalene,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:08:36 19-02-2023
19 Feb 2023, 17:08:40,859 ,       Darcelle,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:08:40 19-02-2023
19 Feb 2023, 17:08:48,860 ,       Eleonore,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:08:48 19-02-2023
19 Feb 2023, 17:08:56,859 ,       Darcelle,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:08:56 19-02-2023
19 Feb 2023, 17:09:00,859 ,    sonsutsit15,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:09:00 19-02-2023
19 Feb 2023, 17:09:02,861 ,       quyconan,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:09:02 19-02-2023
19 Feb 2023, 17:09:04,859 ,      Rainbow03,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:09:04 19-02-2023
19 Feb 2023, 17:09:05,859 ,         Amarie,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:09:05 19-02-2023
19 Feb 2023, 17:09:06,859 ,      Annabello,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:09:06 19-02-2023
19 Feb 2023, 17:09:10,859 ,        Sungbao,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:09:10 19-02-2023
19 Feb 2023, 17:09:12,859 ,    sonsutsit15,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:09:12 19-02-2023
19 Feb 2023, 17:09:15,859 ,   Cuoinamecuoi,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:09:15 19-02-2023
19 Feb 2023, 17:09:29,860 ,       Beaufort,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:09:29 19-02-2023
19 Feb 2023, 17:09:31,859 ,      Rainbow03,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:09:31 19-02-2023
19 Feb 2023, 17:09:33,859 ,    sonsutsit15,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:09:33 19-02-2023
19 Feb 2023, 17:09:36,859 ,      Rainbow03,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:09:36 19-02-2023
19 Feb 2023, 17:09:40,859 ,       quyconan,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:09:40 19-02-2023
19 Feb 2023, 17:09:41,859 ,       quyconan,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:09:41 19-02-2023
19 Feb 2023, 17:09:44,859 ,     BinhKimAnh,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:09:44 19-02-2023
19 Feb 2023, 17:09:49,860 ,       quyconan,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:09:49 19-02-2023
19 Feb 2023, 17:09:57,859 ,       Darcelle,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:09:57 19-02-2023
19 Feb 2023, 17:10:01,860 ,        Adalene,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:10:01 19-02-2023
19 Feb 2023, 17:10:02,860 ,      Rainbow03,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:10:02 19-02-2023
19 Feb 2023, 17:10:03,860 ,         Amarie,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:10:03 19-02-2023
19 Feb 2023, 17:10:06,859 ,   tuanminh2121,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:10:06 19-02-2023
19 Feb 2023, 17:10:10,860 ,        Adriene,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:10:10 19-02-2023
19 Feb 2023, 17:10:15,860 ,        Sungbao,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:10:15 19-02-2023
19 Feb 2023, 17:10:22,859 ,   Cuoinamecuoi,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:10:22 19-02-2023
19 Feb 2023, 17:10:22,861 ,         Armand,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:10:22 19-02-2023
19 Feb 2023, 17:10:23,859 ,    sonsutsit15,  XocDia,       1000,    0,      Dong bang tien, 1002,  Khong du tien,17:10:23 19-02-2023
